"500","5","u","つれ添う","つれそう"
"501","5","r","つんのめる",
"502","5","r-i","である",
"503","5","r","でき上がる","できあがる"
"504","5","aru","でご座る","でござる"
"505","1",,"でっち上げる","でっちあげる"
"506","5","r-i","ではある",
"507","5","r-i","でもある",
"508","5","r","でんぐり返る","でんぐりがえる"
"509","5","aru","で御座る","でござる"
"510","5","k","ときめく",
"511","5","k","とく",
"512","5","k","とぐろを巻く","とぐろをまく"
"513","5","m","とけ込む","とけこむ"
"514","5","r","とさかに来る","とさかにくる"
"515","5","r","とちる",
"516","5","u","とち狂う","とちくるう"
"517","5","u","とち狂う","とちぐるう"
"518","1",,"とっちる",
"519","5","s","とどめを刺す","とどめをさす"
"520","1",,"とび出る","とびでる"
"521","5","u","とやかく言う","とやかくいう"
"522","5","m","とり囲む","とりかこむ"
"523","5","b","とり結ぶ","とりむすぶ"
"524","5","s","とり出す","とりだす"
"525","5","u","とり払う","とりはらう"
"526","5","s","とり戻す","とりもどす"
"527","5","r","とる",
"528","1",,"と見られる","とみられる"
"529","5","r","と言ったら嘘になる","といったらうそになる"
"530","1",,"と言われる","といわれる"
"531","1",,"と考えられる","とかんがえられる"
"532","1",,"と思われる","とおもわれる"
"533","5","u","どうかと思う","どうかとおもう"
"534","5","k","どきつく",
"535","5","k","どく",
"536","5","r","どさ回りをやる","どさまわりをやる"
"537","5","r","どじる",
"538","5","m","どじを踏む","どじをふむ"
"539","5","u","どち狂う","どちぐるう"
"540","5","r","どっぷりと漬かる","どっぷりとつかる"
"541","1",,"どなり立てる","どなりたてる"
"542","1",,"どぶに捨てる","どぶにすてる"
"543","1",,"どやし付ける","どやしつける"
"544","5","s","どやす",
"545","5","k","どんつく",
"546","5","k","ど突く","どつく"
"547","5","k","ど突く","どづく"
"548","5","u","なう",
"549","1",,"なかば眠っている","なかばねむっている"
"550","5","s","なぎ倒す","なぎたおす"
"551","5","s","なぐり倒す","なぐりたおす"
"552","5","s","なしで済ます","なしですます"
"553","5","m","なだれ込む","なだれこむ"
"554","5","s","なで回す","なでまわす"
"555","5","u","にこっと笑う","にこっとわらう"
"556","5","k","にして置く","にしておく"
"557","1",,"にじみ出る","にじみでる"
"558","5","r","にじり寄る","にじりよる"
"559","5","k","にたつく",
"560","5","u","にっこり笑う","にっこりわらう"
"561","5","k","にやつく",
"562","5","r","によって異なる","によってことなる"
"563","1",,"にらみ付ける","にらみつける"
"564","5","u","にんまり笑う","にんまりわらう"
"565","5","b","にん傷に及ぶ","にんじょうにおよぶ"
"566","5","r","に依る","による"
"567","5","r","に因る","による"
"568","5","r","に拠る","による"
"569","5","r","に限る","にかぎる"
"570","5","k","に続く","につづく"
"571","5","r","ぬぐい去る","ぬぐいさる"
"572","5","r","ぬぐい取る","ぬぐいとる"
"573","5","t","ぬたうつ",
"574","5","r","ぬたくる",
"575","5","r","ねじ曲がる","ねじまがる"
"576","1",,"ねじ曲げる","ねじまげる"
"577","5","m","ねじ込む","ねじこむ"
"578","1",,"ねじ伏せる","ねじふせる"
"579","5","r","のさばる",
"580","5","k","のしのしと歩く","のしのしとあるく"
"581","1",,"のしを付ける","のしをつける"
"582","5","k","のし歩く","のしあるく"
"583","5","m","のぞき込む","のぞきこむ"
"584","5","r","のたうち回る","のたうちまわる"
"585","5","r","のたくる",
"586","5","t","のた打つ","のたうつ"
"587","1",,"のどから手が出る","のどからてがでる"
"588","5","k","のどが渇く","のどがかわく"
"589","5","k","のどが乾く","のどがかわく"
"590","5","r","のどに詰まる","のどにつまる"
"591","5","r","のぼせ上がる","のぼせあがる"
"592","1",,"のぼり詰める","のぼりつめる"
"593","5","m","のみ込む","のみこむ"
"594","5","m","のめり込む","のめりこむ"
"595","5","r","のめる",
"596","5","r","はい回る","はいまわる"
"597","5","r","はぎ取る","はぎとる"
"598","5","r","はぐる",
"599","5","r","はげ上がる","はげあがる"
"600","1",,"はしごを掛ける","はしごをかける"
"601","5","s","はじき飛ばす","はじきとばす"
"602","1",,"はじけ飛ぶ","はじけとぶ"
"603","5","k","はたたく",
"604","5","k","はためく",
"605","5","g","はだ脱ぐ","はだぬぐ"
"606","1",,"はち切れる","はちきれる"
"607","1",,"はっちゃける",
"608","5","k-s","はって行く","はっていく"
"609","5","m","はっと息を呑む","はっといきをのむ"
"610","5","r","はね上がる","はねあがる"
"611","5","s","はね飛ばす","はねとばす"
"612","5","r","はね返る","はねかえる"
"613","5","m","はまり込む","はまりこむ"
"614","5","s","はみ出す","はみだす"
"615","1",,"はみ出る","はみでる"
"616","5","m","はめ込む","はめこむ"
"617","5","s","はめ倒す","はめたおす"
"618","1",,"はり合わせる","はりあわせる"
"619","5","r","はる",
"620","1",,"ばかを見る","ばかをみる"
"621","5","k","ばたつく",
"622","1",,"ばっくれる",
"623","1",,"ばつを合わせる","ばつをあわせる"
"624","1",,"ばてる",
"625","5","m","ばむ",
"626","5","s","ばらす",
"627","5","k","ばらつく",
"628","5","k","ばら蒔く","ばらまく"
"629","1",,"ばれる",
"630","5","k","ぱくつく",
"631","5","k","ぱさつく",
"632","5","r","ぱしる",
